artifact_ID,chat_id,date,artifact_name,artifact_url
remove_class_c_big,c246140f-bb10-456b-932b-f5ca2daaf1d3,22 days ago,Calculate Office Electricity Costs,https://claude.ai/chat/c246140f-bb10-456b-932b-f5ca2daaf1d3?artifactId=remove_class_c_big
calculate-total-odcv-savings,9024d6d5-cd90-4fbc-b31b-629e0599b56d,14 days ago,Calculate Total ODCV Savings,https://claude.ai/chat/9024d6d5-cd90-4fbc-b31b-629e0599b56d?artifactId=calculate-total-odcv-savings
calculate-total-odcv-savings,9024d6d5-cd90-4fbc-b31b-629e0599b56d,14 days ago,Calculate Total ODCV Savings - 58 Buildings,https://claude.ai/chat/9024d6d5-cd90-4fbc-b31b-629e0599b56d?artifactId=calculate-total-odcv-savings
calculate-total-odcv-savings,9024d6d5-cd90-4fbc-b31b-629e0599b56d,14 days ago,Calculate Total ODCV Savings from HVAC File,https://claude.ai/chat/9024d6d5-cd90-4fbc-b31b-629e0599b56d?artifactId=calculate-total-odcv-savings
ways_i_fuck_up,aadb1a38-7a18-4f69-96b1-1abfd31d6d71,Not found,Cooling Analysis - Summer Electricity Patterns,https://claude.ai/chat/aadb1a38-7a18-4f69-96b1-1abfd31d6d71?artifactId=ways_i_fuck_up
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,CoStar Data Cleaner - Python Script,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,CoStar Layout Analyzer,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
costar-photo-detector,d85d0a8e-2a9e-4e51-9fce-9d4fed7440e0,5 days ago,CoStar Photo & Diagram Detector,https://claude.ai/chat/d85d0a8e-2a9e-4e51-9fce-9d4fed7440e0?artifactId=costar-photo-detector
costar-smart-extractor,d85d0a8e-2a9e-4e51-9fce-9d4fed7440e0,5 days ago,CoStar Smart Region Extractor,https://claude.ai/chat/d85d0a8e-2a9e-4e51-9fce-9d4fed7440e0?artifactId=costar-smart-extractor
costar-template-extractor,d85d0a8e-2a9e-4e51-9fce-9d4fed7440e0,5 days ago,CoStar Template-Based Extractor,https://claude.ai/chat/d85d0a8e-2a9e-4e51-9fce-9d4fed7440e0?artifactId=costar-template-extractor
remove_class_c_big,c246140f-bb10-456b-932b-f5ca2daaf1d3,22 days ago,Electricity Costs Script - Disaggregated HVAC/NonHVAC,https://claude.ai/chat/c246140f-bb10-456b-932b-f5ca2daaf1d3?artifactId=remove_class_c_big
ways_i_fuck_up,aadb1a38-7a18-4f69-96b1-1abfd31d6d71,Not found,Electricity Costs Script - Updated for Disaggregated Data,https://claude.ai/chat/aadb1a38-7a18-4f69-96b1-1abfd31d6d71?artifactId=ways_i_fuck_up
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Electricity Costs via Genability - Disaggregated HVAC/NonHVAC,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
monthly-energy-cost-averages,9024d6d5-cd90-4fbc-b31b-629e0599b56d,14 days ago,Energy Cost Analysis Script,https://claude.ai/chat/9024d6d5-cd90-4fbc-b31b-629e0599b56d?artifactId=monthly-energy-cost-averages
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Final CoStar Fix - Tab Separated,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Final HVAC Disaggregation - Daily Baseline Method,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Final Savings Summary from HVAC File,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Final Simplification of HVAC_System_Simplified2,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
fill-n-energy-star,393f913d-3192-4049-a119-abd7b90f14b9,21 days ago,Final Smart Energy Cost Adjustment with Fuel Substitution,https://claude.ai/chat/393f913d-3192-4049-a119-abd7b90f14b9?artifactId=fill-n-energy-star
fuel_cost_analysis,8338e0fd-d746-45d3-be66-1871d144626b,20 days ago,Fuel Cost Analysis Script,https://claude.ai/chat/8338e0fd-d746-45d3-be66-1871d144626b?artifactId=fuel_cost_analysis
ways_i_fuck_up,aadb1a38-7a18-4f69-96b1-1abfd31d6d71,Not found,Genability API Electricity Costs - Disaggregated,https://claude.ai/chat/aadb1a38-7a18-4f69-96b1-1abfd31d6d71?artifactId=ways_i_fuck_up
genability_costs_disaggregated,e89846ba-9783-472c-8d72-a5f2f0a14892,15 days ago,Genability Bulk Cost Calculator,https://claude.ai/chat/e89846ba-9783-472c-8d72-a5f2f0a14892?artifactId=genability_costs_disaggregated
ways_i_fuck_up,aadb1a38-7a18-4f69-96b1-1abfd31d6d71,Not found,Genability Enterprise Cost Calculator with Smart Resume,https://claude.ai/chat/aadb1a38-7a18-4f69-96b1-1abfd31d6d71?artifactId=ways_i_fuck_up
ways_i_fuck_up,aadb1a38-7a18-4f69-96b1-1abfd31d6d71,Not found,generate_aerial_videos.py - Pre-generate all building aerial videos,https://claude.ai/chat/aadb1a38-7a18-4f69-96b1-1abfd31d6d71?artifactId=ways_i_fuck_up
streetview_panorama_extractor,3b15d181-749e-433b-a8fd-b76af306ae42,11 days ago,Get Google Street View Panorama ID,https://claude.ai/chat/3b15d181-749e-433b-a8fd-b76af306ae42?artifactId=streetview_panorama_extractor
ways_i_fuck_up,aadb1a38-7a18-4f69-96b1-1abfd31d6d71,Not found,High-Res Satellite Building Images,https://claude.ai/chat/aadb1a38-7a18-4f69-96b1-1abfd31d6d71?artifactId=ways_i_fuck_up
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,HVAC Analysis - Daily Baseline Method,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,HVAC Disaggregation Analysis - Data-Driven Approach,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,HVAC Disaggregation Implementation - Data-Driven Method,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
compare-energy-hvac-usage,498af247-2dac-4a1a-8571-1afad3630d61,14 days ago,HVAC Energy Usage Analysis Script,https://claude.ai/chat/498af247-2dac-4a1a-8571-1afad3630d61?artifactId=compare-energy-hvac-usage
nyc_360_streetview,891b0bbb-12da-4306-895c-ab54afc1ee44,13 days ago,NYC 360 Street View Panorama Capture,https://claude.ai/chat/891b0bbb-12da-4306-895c-ab54afc1ee44?artifactId=nyc_360_streetview
fill-n-energy-star,393f913d-3192-4049-a119-abd7b90f14b9,21 days ago,NYC Building Data Cleaning Script,https://claude.ai/chat/393f913d-3192-4049-a119-abd7b90f14b9?artifactId=fill-n-energy-star
nyc_360_streetview,891b0bbb-12da-4306-895c-ab54afc1ee44,13 days ago,NYC Buildings 360 Street View Capture Script,https://claude.ai/chat/891b0bbb-12da-4306-895c-ab54afc1ee44?artifactId=nyc_360_streetview
office-utilization-benchmarking-data,db97cd87-43aa-48bd-b6ed-2d6f6a10a9a0,Not found,NYC Office Utilization Benchmarking Data for ODCV Analysis,https://claude.ai/chat/db97cd87-43aa-48bd-b6ed-2d6f6a10a9a0?artifactId=office-utilization-benchmarking-data
fill-n-energy-star,393f913d-3192-4049-a119-abd7b90f14b9,21 days ago,NYC Property Ownership and Management Data,https://claude.ai/chat/393f913d-3192-4049-a119-abd7b90f14b9?artifactId=fill-n-energy-star
nyc-satellite-fast-google,0d9a66da-d412-47be-bbfc-c3c49436bd42,25 days ago,NYC Satellite Capture - Fast Google Only,https://claude.ai/chat/0d9a66da-d412-47be-bbfc-c3c49436bd42?artifactId=nyc-satellite-fast-google
nyc-streetview-pro,f0537d63-080a-4e21-92af-21a81edcbee9,13 days ago,NYC Street View Pro - Production Script,https://claude.ai/chat/f0537d63-080a-4e21-92af-21a81edcbee9?artifactId=nyc-streetview-pro
odcv_scoring_methodology,aadb1a38-7a18-4f69-96b1-1abfd31d6d71,Not found,ODCV Fit Scoring Methodology,https://claude.ai/chat/aadb1a38-7a18-4f69-96b1-1abfd31d6d71?artifactId=odcv_scoring_methodology
find-names-in-csv,724889c8-d8dd-4357-bfae-96a252eaf3fc,1 day ago,ODCV Savings Ranking Script,https://claude.ai/chat/724889c8-d8dd-4357-bfae-96a252eaf3fc?artifactId=find-names-in-csv
odcv_scoring_calculator,aadb1a38-7a18-4f69-96b1-1abfd31d6d71,14 days ago,ODCV Scoring Calculator,https://claude.ai/chat/aadb1a38-7a18-4f69-96b1-1abfd31d6d71?artifactId=odcv_scoring_calculator
parse-manhattan-both-patterns,cb335948-1efa-4fda-bd6b-f6f758de7042,7 days ago,Parse Manhattan Buildings - Handle Both Patterns,https://claude.ai/chat/cb335948-1efa-4fda-bd6b-f6f758de7042?artifactId=parse-manhattan-both-patterns
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Phase 2: Create HVAC Electricity Disaggregation,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Phase 2: HVAC Electricity Disaggregation,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
remove_class_c_big,c246140f-bb10-456b-932b-f5ca2daaf1d3,22 days ago,Phase 3: Calculate Electricity Costs Using SC-9 Tariffs,https://claude.ai/chat/c246140f-bb10-456b-932b-f5ca2daaf1d3?artifactId=remove_class_c_big
populate_from_all_sources,cf36767d-6f7f-4cd3-b50c-3a7d731a7fc9,15 days ago,Populate Dates from All LL87 Sources Including CSV,https://claude.ai/chat/cf36767d-6f7f-4cd3-b50c-3a7d731a7fc9?artifactId=populate_from_all_sources
populate-office-energy-data,1f647f2a-f81a-426d-a196-e77654fe7871,14 days ago,Populate Office Energy Data,https://claude.ai/chat/1f647f2a-f81a-426d-a196-e77654fe7871?artifactId=populate-office-energy-data
populate-office-energy-usage,1f647f2a-f81a-426d-a196-e77654fe7871,14 days ago,Populate Office Energy Usage,https://claude.ai/chat/1f647f2a-f81a-426d-a196-e77654fe7871?artifactId=populate-office-energy-usage
rooftop-equipment-visualizer,5e012525-4a71-4696-85da-65ff730f1a6d,3 days ago,Rooftop Equipment Visualizer,https://claude.ai/chat/5e012525-4a71-4696-85da-65ff730f1a6d?artifactId=rooftop-equipment-visualizer
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Sales-Focused Implementation Plan with IAQ Graph,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
remove_class_c_big,c246140f-bb10-456b-932b-f5ca2daaf1d3,22 days ago,SC-9 Electricity Cost Calculator,https://claude.ai/chat/c246140f-bb10-456b-932b-f5ca2daaf1d3?artifactId=remove_class_c_big
update_suspicious_class_c,c246140f-bb10-456b-932b-f5ca2daaf1d3,22 days ago,SC-9 Electricity Cost Calculator - Updated Implementation Plan,https://claude.ai/chat/c246140f-bb10-456b-932b-f5ca2daaf1d3?artifactId=update_suspicious_class_c
sc9-interval-generator,ff079647-bacc-437b-8904-99668b844dcb,18 days ago,SC9 15-Minute Interval Generator,https://claude.ai/chat/ff079647-bacc-437b-8904-99668b844dcb?artifactId=sc9-interval-generator
cold_months_adjustment_script,fd5de733-6a5c-412f-85f9-81a887440f89,16 days ago,Script 3: Apply Cold Months HVAC Adjustments,https://claude.ai/chat/fd5de733-6a5c-412f-85f9-81a887440f89?artifactId=cold_months_adjustment_script
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Script 4: Apply Warm Months HVAC Adjustments,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
seasonal_electricity_analysis,067db135-ecfc-4c55-b720-5eeed68c1668,18 days ago,Seasonal Electricity Pattern Analysis,https://claude.ai/chat/067db135-ecfc-4c55-b720-5eeed68c1668?artifactId=seasonal_electricity_analysis
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Simple Analysis - Fuel Usage vs Electricity Patterns,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
simplify-conde-nast-types,50ec1722-535a-4fb2-b9c9-3948cb090bd3,15 days ago,Simplify Conde Nast Image Types,https://claude.ai/chat/50ec1722-535a-4fb2-b9c9-3948cb090bd3?artifactId=simplify-conde-nast-types
ways_i_fuck_up,aadb1a38-7a18-4f69-96b1-1abfd31d6d71,Not found,Simplify Distribution and Delivery in HVAC_System_Simplified,https://claude.ai/chat/aadb1a38-7a18-4f69-96b1-1abfd31d6d71?artifactId=ways_i_fuck_up
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Smart Consolidation of LL87 Data,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Smart HVAC Disaggregation - Data-Driven Approach,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
sv360_pro_prep,3b15d181-749e-433b-a8fd-b76af306ae42,11 days ago,Street View 360 Pro Preparation Script,https://claude.ai/chat/3b15d181-749e-433b-a8fd-b76af306ae42?artifactId=sv360_pro_prep
streetview_panorama_extractor,3b15d181-749e-433b-a8fd-b76af306ae42,11 days ago,Street View Panorama ID Extractor for Manhattan Buildings,https://claude.ai/chat/3b15d181-749e-433b-a8fd-b76af306ae42?artifactId=streetview_panorama_extractor
total-savings-by-fuel-season,498af247-2dac-4a1a-8571-1afad3630d61,14 days ago,Total Savings by Fuel and Season,https://claude.ai/chat/498af247-2dac-4a1a-8571-1afad3630d61?artifactId=total-savings-by-fuel-season
